name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
ЗОЖ HOT,4BREWERS,Sour - Fruited Gose,2020-08-14,3.757,3.0,,,,6.0,,4
Nevermont Magic Dust,Stamm Brewing,IPA - New England / Hazy,2017-10-18,4.079,50.0,,,,6.8,,4
La Famiglia,Rewort Brewery,Sour - Traditional Gose,2020-01-10,3.909,,,,"Tomato,Red Pepper",6.9,,4
Ingria 8,AF Brew,IPA - American,2020-08-29,3.656,75.0,Simcoe,,,6.8,,4
Hot Wax,Zagovor Brewery,IPA - Imperial / Double New England / Hazy,2019-01-07,4.113,40.0,"Citra,Galaxy",,,6.8,19.0,4
Tomato Method,Selfmade Brewery,Sour - Traditional Gose,2020-03-04,3.908,20.0,,,Tomato,5.6,,4
Stability,Rewort Brewery,IPA - Imperial / Double,2020-04-09,3.779,65.0,,,,6.8,,4
Rye Matter,Jaws,IPA - Rye,2020-06-26,3.668,80.0,"Ekuanot,Centennial,Chinook","Maris Otter,Pale Ale,Rye,Caramel",,6.5,15.0,4
Story Mode,Stamm Brewing,IPA - Imperial / Double New England / Hazy,2020-06-29,4.056,,,,,6.8,,4
13 Weeks And What?!,AF Brew,IPA - Triple New England / Hazy,2020-06-25,3.859,20.0,"Mosaic,Citra,Galaxy",,,6.8,,4
Pizza Time,Sabotage,Sour - Fruited Gose,2018-10-07,3.825,10.0,,,,6.0,,4
ABV Not IBU: Citra,AF Brew,IPA - Imperial / Double,2020-05-21,3.547,114.0,Citra,,,6.8,,4
Criminal Damage,Zagovor Brewery,IPA - Imperial / Double,2017-11-03,3.972,45.0,Centennial,,,6.8,18.5,4
70,Black Cat Brewery,IPA - American,2015-05-02,3.824,70.0,"El Dorado,Equinox,Mosaic,Citra",,,6.8,,4
Stylo,Stamm Brewing,IPA - Imperial / Double New England / Hazy,2019-11-27,4.061,,"Nelson Sauvin,Mosaic,Citra,Simcoe",,,6.8,,4
Monoplay Simcoe,Stamm Brewing,IPA - Imperial / Double New England / Hazy,2019-10-05,4.055,,,,,6.8,,4
Punched Card,Zagovor Brewery,IPA - Triple New England / Hazy,2019-10-22,4.147,40.0,"Citra,Galaxy,Simcoe,El Dorado",,,6.8,21.5,4
Jaws APA,Jaws,Pale Ale - American,2013-10-18,3.87,43.0,"Cascade,Chinook,Mosaic","Pale Ale,Melanoidin",,5.6,13.0,4
Hoppy Milk,Stamm Brewing,Pale Ale - New England / Hazy,2017-08-06,3.856,30.0,,,,4.7,,4
Fidel C.,Rewort Brewery,IPA - Imperial / Double,2018-03-30,3.842,60.0,,,,6.8,20.5,4
All Together,AF Brew,IPA - New England / Hazy,2020-04-23,4.013,20.0,"Citra,Simcoe,Mosaic,Sabro",,,6.5,,4
600,"Brew Division,Nøgne Ø",IPA - Triple,2020-02-21,4.11,100.0,,,,6.8,,4
