name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Bliskavica: Eclipse & Simcoe,Malanka,IPA - New England / Hazy,2024-10-09,4.256,40.0,"Eclipse,Simcoe","Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,17.0,4
Veseliy Osel Grown Cranberries,Веселово,Mead - Other,2024-06-09,2.618,,,,,5.7,,3
Veseliy Osel Grown Pears,Веселово,Mead - Traditional,2024-06-11,3.067,,,,,5.7,,1
Hel,Midnight Project,Stout - Imperial / Double Oatmeal,2024-10-25,4.211,40.0,,,,6.8,,4
Днепро Мэд Лемон (DНЕПРО MAD LEMON),Бабруйскі бровар,Flavored Malt Beverage,2024-07-04,3.295,,,,,4.6,,3
Brewer's DNA / ДНК Пивовара,NoAd.Beer GmbH,Lager - Helles,2022-01-29,2.725,20.0,,,,4.1,,2
Калядны Цуд Чарніца-Чабор,Аліварыя,Lager - Winter,2024-10-18,2.715,2.0,,,,4.7,,2
Shroomdalf Smoked Paprika,Selfmade Brewery,Sour - Other Gose,2024-09-03,4.213,10.0,,,,5.0,,4
Raspberry Porter,Brater,Porter - Other,2024-02-08,3.757,20.0,,,,6.8,,4
GIALLO!,Ostrovica,Stout - Imperial / Double,2024-06-25,3.993,,,,,6.8,,4
"Уважаемые соседи,","Mitra,Concierge Luppolo",Pilsner - New Zealand,2023-08-29,4.007,24.0,,,,5.2,,4
Power Armor,"Selfmade Brewery,Midnight Project",IPA - Imperial / Double,2024-10-07,4.078,65.0,,,,6.8,,4
Black ANT,Hops Brewery,Lager - Dark,2024-10-21,3.678,8.0,,,,5.1,,4
Hefeweizen Banana,Konix Brewery,Wheat Beer - Hefeweizen,2019-05-13,3.534,12.0,,,,4.5,,4
Paulaner Pils / Münchner Pils,Paulaner Brauerei,Pilsner - German,2010-12-19,3.416,31.0,,,,4.8,,4
Varka Psheno,New Riga’s Brewery,Wheat Beer - Hefeweizen,2014-06-06,3.295,,,,,5.5,,3
Varka Blanche,New Riga’s Brewery,Wheat Beer - Witbier / Blanche,2021-04-27,3.272,12.0,,,,4.0,,4
Schöfferhofer Wild Cherry Hefeweizen,Radeberger,Shandy / Radler,2021-07-15,3.645,,,,,2.5,,4
Grošák,Pivovar Steiger,Lager - Pale,2014-05-02,2.461,,,,,3.0,,2
Крым Светлое (Krym Svetloe),ПБК Крым,Lager - Pale,2013-12-31,2.633,,,,,4.4,,3
Steiger 12% / Gold,Pivovar Steiger,Pilsner - Czech / Bohemian,2011-02-20,2.836,,,,,5.0,,2
Peculier IPA,Theakston,IPA - English,2023-09-03,3.533,,,,,5.1,,4
Аліварскі квас чарніца-чабор,Аліварыя,Kvass,2024-10-15,2.929,,,,,,,2
Tsingtao,Tsingtao Brewery,Lager - Pale,,2.894,25.0,,,,4.7,,3
Kraštiečių Tradicinis,Крыніца,Lager - Pale,2024-08-02,2.631,,,,,6.0,,2
Zhigulevskoe (Жигулевское),Pivkombinat Balakovsky (Пивкомбинат Балаковский),Lager - Pale,2015-02-11,2.596,,,,,4.0,,2
Klosterkeller Weizenbier,Brauhaus Leikeim,Wheat Beer - Hefeweizen,2019-05-09,2.976,,,,,5.4,,2
Klosterkeller Pilsener,Brauhaus Leikeim,Pilsner - German,2019-01-16,2.854,,,,,4.9,,3
Inside Outside,Jungle Brewery,IPA - American,2024-09-20,4.237,60.0,"Simcoe,Vic Secret,Galaxy",,,5.8,13.5,4
DrAuGR,Mad Frog Brewery,Wild Ale - Other,2024-08-03,4.275,,,,Raspberry,6.8,,4
Hefeweizen,Bierstaat,Wheat Beer - Hefeweizen,2023-01-23,3.659,8.0,,,,5.3,,3
It's Not Over...,"Mitra,Docker",Porter - Imperial / Double,2024-04-27,3.838,49.0,,,,6.8,,4
詩經 (Shīh-chīng),Delta Ksi,Sour - Tomato / Vegetable Gose,2024-06-08,4.028,15.0,,,,5.0,15.0,4
Višniovy Sad,Ugar,Mead - Melomel,2024-05-16,4.236,,,,,6.8,,4
Наглецы из Воронежа Stout,Brewlok,Stout - Other,2022-08-05,3.66,,,,,5.5,,3
Špońk,Midnight Project,Sour - Fruited,2022-02-25,4.197,10.0,,,"Black Currant,Cranberry,Aronia",6.9,,4
Ekaterinburg,Mitra,IPA - American,2024-06-27,3.86,49.0,,,,6.4,,4
Dunkles Weizen,Distelhäuser Brauerei,Wheat Beer - Dunkelweizen,2011-11-21,3.485,15.0,,,,5.4,,3
Жэўжык,Вір,Mead - Melomel,2024-10-03,3.953,,,,Cranberry,6.0,15.0,4
Chaliera: Simcoe,Malanka,IPA - American,2021-01-10,4.113,50.0,Simcoe,Pilsner,,5.7,13.0,4
Saĺsa: Carolina Reaper,Malanka,Sour - Tomato / Vegetable Gose,2024-09-23,4.374,,,"Pilsner,Wheat,Flaked Oats","Tomato,Red Pepper",4.0,12.0,4
Foggy Ten Realms,Plan B Brewery,IPA - New England / Hazy,2020-08-14,3.964,40.0,"Simcoe,Citra,Idaho 7",,,6.2,,4
Smuha: El Dorado,Malanka,IPA - Imperial / Double New England / Hazy,2020-01-15,4.242,18.0,El Dorado,"Pilsner,Flaked Oats,Flaked Wheat,Flaked Rye",,6.8,18.0,4
Caught In My Dream,FrauGruber Brewing,IPA - New England / Hazy,2023-11-16,3.714,,,,,6.8,,4
Здурнелі зусім і дадалі ў пшанічку Нельсан,Midnight Project,Wheat Beer - Hopfenweisse,2024-09-05,4.123,14.0,,,,6.9,,4
T-900,Punchiller,Freeze-Distilled Beer,2024-09-23,4.84,,,,,6.8,,4
Closed Party,Midnight Project,IPA - Imperial / Double,2024-09-19,4.293,65.0,,,,6.8,,4
Chainsword,Midnight Project,IPA - Imperial / Double,2024-09-27,4.077,60.0,,,,6.8,,4
Irish Wolf,Boxing Wizard Brewery,IPA - Other,2022-12-20,3.868,45.0,,,,5.5,,4
Хрум,Plague Brew,Sour - Other Gose,2023-11-17,4.1,6.0,,,,5.2,,4
Белая Скала (Belaya Skala),ПБК Крым,Wheat Beer - Witbier / Blanche,2016-07-24,2.873,,,,,5.0,,2
Asphyxia,"Midnight Project,Ability Brewing Project",Stout - Russian Imperial,2024-09-05,4.296,70.0,,,,6.8,,5
Herzog Von Bavaria,Argo Brewing Company,Lager - Dortmunder / Export,2015-03-08,2.742,,,,,5.2,,2
Embrace,Zagovor Brewery,,2024-09-19,4.111,35.0,,,,0.5,,4
Don't Worry Baby,Jaws,Non-Alcoholic Beer - Other,2017-06-18,3.519,30.0,"El Dorado,Idaho 7,Crystal","Pale Ale,Special B",,0.5,3.0,4
Sleep Tight Baby,Jaws,Non-Alcoholic Beer - Porter / Stout,2023-10-11,3.447,,,,,0.5,,4
Халзан Безалкогольное,Очаково,Non-Alcoholic Beer - Other,2019-04-19,2.632,,,,,0.5,,3
Marochnoe Bezalkogolnoe | Марочное Безалкогольное,Афанасий,,2016-04-17,2.925,,,,,0.5,,4
Weiss Berg Безалкогольное,Бочкари,Non-Alcoholic Beer - Wheat Beer,2019-05-07,2.768,,,,,0.5,,3
N Nealko,Primátor,Non-Alcoholic Beer - Lager,2012-02-14,2.372,22.0,,,,0.5,,3
Under Control,Time Bomb Brewery,Non-Alcoholic Beer - Pale Ale,2023-12-05,3.701,,,,,0.5,,4
Easy Hazy,Ostrovica,,2024-05-02,3.781,,,,,0.5,,4
Квас Старажытны Цёмны,Крыніца,Kvass,2023-07-06,3.013,,,,,1.2,,3
Kaleidoscope IPA: Sabro Ella,Hops Brewery,IPA - American,2024-08-26,3.824,45.0,"Sabro,Ella",,,6.5,,4
Sleeping Dog,Bierstaat,Porter - Other,2024-08-26,3.859,,,,,6.9,,4
Cherry On Top,Zavod,Fruit Beer,2022-03-15,3.521,10.0,,,Cherry,6.9,,4
Station HBC-630,Bierbank,IPA - Session,2024-08-27,3.95,30.0,HBC630,,,5.0,,4
Wheatdows,Hops Brewery,Wheat Beer - Hefeweizen,2024-07-01,3.685,5.0,,,,5.0,,3
Антиглянец,4BREWERS,Stout - Imperial / Double Pastry,2024-04-22,4.086,,,,,6.8,,4
Thullium Spiced Ed.,Nuclear Brewery,Sour - Traditional Gose,2021-03-09,3.859,,,,,4.5,,4
Meteor Pils,Brasserie Meteor,Pilsner - Other,2010-11-21,3.012,26.0,,,,5.0,,2
